classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall,train_size,test_size,report_table
MaxEnt,s0,"[['lib', 'tow', 'jk', 'scw', 'lc', 'stem'], ['pac', 'tow', 'jk']]",0.9070385126162018,0.9059745835620663,0.9070385126162018,83,753,"                  GUI       LOGIC  ...   macro avg  weighted avg
precision    0.976351    0.893557  ...    0.759582      0.905975
recall       0.932258    0.924638  ...    0.719449      0.907039
f1-score     0.953795    0.908832  ...    0.728706      0.905398
support    310.000000  345.000000  ...  753.000000    753.000000
Test       310.000000  345.000000  ...         NaN           NaN
Train       34.000000   38.000000  ...         NaN           NaN
Total      344.000000  383.000000  ...         NaN           NaN

[7 rows x 7 columns]"
SVM,s0,"[['lib', 'tow', 'jk', 'scw', 'lc', 'stem'], ['pac', 'tow', 'jk']]",0.9043824701195219,0.9007652521121604,0.9043824701195219,83,753,"                  GUI       LOGIC  ...   macro avg  weighted avg
precision    0.976510    0.915205  ...    0.644804      0.900765
recall       0.938710    0.907246  ...    0.682753      0.904382
f1-score     0.957237    0.911208  ...    0.660579      0.900979
support    310.000000  345.000000  ...  753.000000    753.000000
Test       310.000000  345.000000  ...         NaN           NaN
Train       34.000000   38.000000  ...         NaN           NaN
Total      344.000000  383.000000  ...         NaN           NaN

[7 rows x 7 columns]"
Naive-Bayes,s0,"[['lib', 'tow', 'jk', 'scw', 'lc', 'stem'], ['pac', 'tow', 'jk']]",0.899070385126162,0.8979475500814079,0.899070385126162,83,753,"                  GUI       LOGIC  ...   macro avg  weighted avg
precision    0.920732    0.896848  ...    0.906450      0.897948
recall       0.974194    0.907246  ...    0.708082      0.899070
f1-score     0.946708    0.902017  ...    0.753699      0.894492
support    310.000000  345.000000  ...  753.000000    753.000000
Test       310.000000  345.000000  ...         NaN           NaN
Train       34.000000   38.000000  ...         NaN           NaN
Total      344.000000  383.000000  ...         NaN           NaN

[7 rows x 7 columns]"
