accuracy,precision,recall,f1,size,classifier,system,size type
0.7007672634271099,0.7687669815195914,0.7007672634271099,0.7007672634271099,5,maxEnt,team,abs
0.8976063829787234,0.9142943447342108,0.8976063829787234,0.8976063829787234,10,maxEnt,team,abs
0.9058171745152355,0.9366630333016424,0.9058171745152355,0.9058171745152355,15,maxEnt,team,abs
0.9046242774566474,0.9410268541043235,0.9046242774566474,0.9046242774566474,20,maxEnt,team,abs
0.9545454545454546,0.9616009077026066,0.9545454545454546,0.9545454545454546,25,maxEnt,team,abs
0.7493606138107417,0.8071114989046193,0.7493606138107417,0.7493606138107417,5,naive,team,abs
0.8404255319148937,0.8847892482235152,0.8404255319148937,0.8404255319148937,10,naive,team,abs
0.8573407202216067,0.891927990758565,0.8573407202216067,0.8573407202216067,15,naive,team,abs
0.884393063583815,0.9258629569673812,0.884393063583815,0.884393063583815,20,naive,team,abs
0.9090909090909091,0.935080826620356,0.9090909090909091,0.9090909090909091,25,naive,team,abs
0.6445012787723785,0.7229295039276687,0.6445012787723785,0.6445012787723785,5,svm,team,abs
0.8337765957446809,0.8920458521209248,0.8337765957446809,0.8337765957446809,10,svm,team,abs
0.8878116343490304,0.9153332050646411,0.8878116343490304,0.8878116343490304,15,svm,team,abs
0.9320809248554913,0.9475948158029083,0.9320809248554913,0.9320809248554913,20,svm,team,abs
0.9545454545454546,0.9578799647502337,0.9545454545454546,0.9545454545454546,25,svm,team,abs
